Date,SecurityCode,SecurityName,LTP,52WeekHigh,Prev52WHighPrice,Prev52WHighDate,AllTimeHighPrice,AllTimeHighDate
2026-09-22,543083,09MPD,5.5,5.5,5.0,21 Sep 2026,5.5,22 Sep 2026
2026-09-22,544283,ACMESOLAR,458.9,476.4,464.0,21 Sep 2026,476.4,22 Sep 2026
2026-09-22,530745,ACSTECH,73.11,73.11,69.63,21 Sep 2026,73.11,22 Sep 2026
2026-09-22,532172,ADROITINFO,12.23,12.49,12.2,31 Oct 2025,416.0,07 Mar 2000
2026-09-22,526331,ADVMULT,72.29,72.29,68.85,21 Sep 2026,72.29,22 Sep 2026
2026-09-22,506947,ADVPETR-B,619.85,619.85,590.35,21 Sep 2026,619.85,22 Sep 2026
2026-09-22,500003,AEGISLOG,1423.15,1528.0,1500.0,21 Sep 2026,1528.0,22 Sep 2026
2026-09-22,544407,AEGISVOPAK,301.45,321.35,320.95,21 Sep 2026,321.35,22 Sep 2026
2026-09-22,544767,AFLTD,102.0,102.0,98.16,21 Sep 2026,102.0,22 Sep 2026
2026-09-22,539546,AGRIBIO,316.0,343.0,340.0,07 Sep 2026,343.0,22 Sep 2026
2026-09-22,544497,AHCL,29.04,29.04,27.52,21 Sep 2026,172.0,28 Nov 2025
2026-09-22,544425,AJCJEWEL,327.5,327.5,312.7,17 Sep 2026,327.5,22 Sep 2026
2026-09-22,544222,AKUMS,809.3,830.85,830.0,21 Sep 2026,1174.85,20 Aug 2024
2026-09-22,544037,AMIC,2481.25,2492.0,2408.0,15 Sep 2026,2492.0,22 Sep 2026
2026-09-22,532259,APARINDS,18239.35,19269.2,19127.45,21 Sep 2026,19269.2,22 Sep 2026
2026-09-22,544529,APPL,353.25,365.5,360.6,17 Sep 2026,446.8,07 May 2026
2026-09-22,544812,ATHARVA,119.2,119.2,118.9,11 Sep 2026,119.2,22 Sep 2026
2026-09-22,530889,AUDROC,19.74,19.74,19.36,21 Sep 2026,30.0,17 Aug 1995
2026-09-22,517230,AURIQUE,27.85,27.85,26.53,21 Sep 2026,140.0,20 Oct 1994
2026-09-22,519105,AVTNPL,98.32,99.99,96.79,03 Sep 2026,490.1,01 Aug 2011
