SecurityCode,SecurityName,TotalAppearances,FirstSeenDate,LastSeenDate,DaysSinceFirstSeen,NewToday,LatestLTP,Latest52WHigh
500003,AEGISLOG,1,2026-09-22,2026-09-22,0,Yes,1423.15,1528.0
500078,OAL,1,2026-09-22,2026-09-22,0,Yes,556.35,572.0
500089,DICIND,1,2026-09-22,2026-09-22,0,Yes,661.8,667.2
500178,HARCR,1,2026-09-22,2026-09-22,0,Yes,35.83,35.83
500207,INDORAMA,1,2026-09-22,2026-09-22,0,Yes,103.57,112.31
500330,RAYMOND,1,2026-09-22,2026-09-22,0,Yes,1113.65,1195.3
500357,RAMAPPR-B,1,2026-09-22,2026-09-22,0,Yes,17.48,17.78
500422,TRANSCHEM,1,2026-09-22,2026-09-22,0,Yes,402.85,417.0
502448,ROLLT,1,2026-09-22,2026-09-22,0,Yes,6.2,6.2
505192,SMLMAH,1,2026-09-22,2026-09-22,0,Yes,6711.85,6764.0
505212,JAINEX,1,2026-09-22,2026-09-22,0,Yes,198.0,198.0
505232,VELJAN,1,2026-09-22,2026-09-22,0,Yes,2020.0,2050.0
505797,MPCOSEMB,1,2026-09-22,2026-09-22,0,Yes,36.76,38.68
506947,ADVPETR-B,1,2026-09-22,2026-09-22,0,Yes,619.85,619.85
507180,KESARENT,1,2026-09-22,2026-09-22,0,Yes,12.97,12.97
507580,IVP,1,2026-09-22,2026-09-22,0,Yes,229.4,231.9
508867,NEWMKTAVE,1,2026-09-22,2026-09-22,0,Yes,73.92,73.92
508963,TRUSTWAVE,1,2026-09-22,2026-09-22,0,Yes,215.78,215.78
509038,VOLLF,1,2026-09-22,2026-09-22,0,Yes,22.24,22.29
511116,QUADRANT,1,2026-09-22,2026-09-22,0,Yes,0.86,0.86
511628,FEDDERSHOL,1,2026-09-22,2026-09-22,0,Yes,63.47,72.79
512093,CRANESSOFT,1,2026-09-22,2026-09-22,0,Yes,6.36,6.36
513043,REMIEDEL,1,2026-09-22,2026-09-22,0,Yes,264.3,272.5
513108,GANDHITUBE,1,2026-09-22,2026-09-22,0,Yes,1002.3,1048.0
513262,SSWL,1,2026-09-22,2026-09-22,0,Yes,364.05,389.35
513343,GFSTEELS,1,2026-09-22,2026-09-22,0,Yes,24.89,24.89
513472,SIMPLEXCAS,1,2026-09-22,2026-09-22,0,Yes,139.4,140.1
513517,STEELCAS,1,2026-09-22,2026-09-22,0,Yes,350.7,374.75
514162,WELSPUNLIV,1,2026-09-22,2026-09-22,0,Yes,222.25,224.0
517172,PERVASIVE,1,2026-09-22,2026-09-22,0,Yes,10.78,10.78
517230,AURIQUE,1,2026-09-22,2026-09-22,0,Yes,27.85,27.85
517399,VXLINSTR,1,2026-09-22,2026-09-22,0,Yes,4.61,4.99
517544,CENTUM,1,2026-09-22,2026-09-22,0,Yes,4863.65,4897.95
519105,AVTNPL,1,2026-09-22,2026-09-22,0,Yes,98.32,99.99
519242,FRESITA,1,2026-09-22,2026-09-22,0,Yes,150.88,150.88
519299,PRIMIND,1,2026-09-22,2026-09-22,0,Yes,65.86,65.86
519413,DATIWARE,1,2026-09-22,2026-09-22,0,Yes,68.89,68.89
521036,SOURCEIND,1,2026-09-22,2026-09-22,0,Yes,60.97,60.97
521178,SRMCL,1,2026-09-22,2026-09-22,0,Yes,63.66,64.99
521244,MKPMOB,1,2026-09-22,2026-09-22,0,Yes,177.0,177.8
522261,DOLPHIN,1,2026-09-22,2026-09-22,0,Yes,727.7,743.65
524336,SHHARICH,1,2026-09-22,2026-09-22,0,Yes,309.4,309.4
524370,BODALCHEM,1,2026-09-22,2026-09-22,0,Yes,193.1,205.7
